scrip,scrip_name
JAMNAUTO,JAMNA AUTO IND LIMITED
JASCHIND,JASCH INDUSTRIES LIMITED
JASH,JASH ENGINEERING LIMITED
JASWALGRAN,JASWAL GRANITES LIMITED
JAYAGROGN,JAYANT AGRO ORGANICS LIMITED
JAYBARMARU,JAY BHARAT MARUTI LIMITED
JAYBUSMAC,JAYANTI BUSINESS MACHINES
JAYDYSTUF,JAYSYNTH DYESTUFF (I) LIMITED
JAYNECOIND,JAYASWAL NECO INDUSTR LIMITED
JAYSREETEA,JAYSHREE TEA & INDUSTRIES
JBCHEPHARM,J B CHEMICALS AND PHARMA
JBFIND,JBF INDUSTRIES LIMITED
JBMA,JBM AUTO LIMITED
JCHAC,JOHNSON CONTROLS HITACHI
JCT,JCT LIMITED
JCTEL,JCT ELE. LIMITED
JENSONICOL,JENSON & NICHOLSON (IND)
JERSY,JERSY INDIA LIMITED
JETAIRWAYS,JET AIRWAYS (INDIA) LIMITED.
JFLABS,JF LABORATORIES LIMITED
JHS,JHS SVEND. LAB. LIMITED
JIKIND,JIK INDUSTRIES LIMITED
JINDALDRUG,JINDAL DRUGS LIMITED
JINDALPHOT,JINDAL PHOTO LIMITED
JINDALPOLY,JINDAL POLY FILMS LIMITED
JINDALSAW,JINDAL SAW LIMITED
JINDALSTEL,JINDAL STEEL & POWER LIMITED
JINDCOT,JINDAL COTEX LIMITED
JINDRILL,JINDAL DRILLING IND. LIMITED
JINDWORLD,JINDAL WORLDWIDE LIMITED
JISLDVREQS,JAIN DVR EQUITY SHARES
JISLJALEQS,JAIN IRRIGATION SYSTEMS
JITFINFRA,JITF INFRALOGISTICS LIMITED
JIYAECO,JIYA ECO-PRODUCTS LIMITED
JKCEMENT,JK CEMENT LIMITED
JKCORP,JK CORP LIMITED
JKDAIRY,JK DAIRY AND FOODS LIMITED
JKIL,JKUMAR INFR.LTD.
JKIND,JK INDUSTRIES LIMITED
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED
JKPAPER,JK PAPER LIMITED
JKPHARMA,J K PHARMACHEM LIMITED
JKSYNTHETC,JK SYNTHETICS LIMITED
JKTYRE,JK TYRE & INDUSTRIES LIMITED
JKUDYOG,JK UDAIPUR UDYOG LIMITED
JMA,JULLUNDUR MOT AGENCY LIMITED
JMCPROJECT,JMC PROJECTS (I) LIMITED.
JMFINANCIL,JM FINANCIAL LIMITED
JMSHARE,J M SHARE AND STOCK BROKE
JMTAUTOLTD,JMT AUTO LIMITED
JOCIL,JOCIL LIMITED
JORDENGG,JORD ENGINEERS (I) LIMITED
JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED
JPINFRATEC,JAYPEE INFRATECH LIMITED
JPOLYINVST,JIND POL INV & FIN CO LIMITED
JPPOWER,JAIPRAKASH POWER VEN. LIMITED
JSL,JINDAL STAINLESS LIMITED
JSLHISAR,JINDAL STAINLESS (H) LIMITED
JSWENERGY,JSW ENERGY LIMITED
JSWHL,JSW HOLDINGS LIMITED
JSWSTEEL,JSW STEEL LIMITED
JTEKTINDIA,JTEKT INDIA LIMITED
JUBILANT,JUBILANT LIFE SCIENCE LIMITED
JUBLFOOD,JUBILANT FOODWORKS LIMITED
JUBLINDS,JUBILANT INDUSTRIES LIMITED
JUMPNET,JUMP NETWORKS LIMITED
JUNIORBEES,NIP INDIA ETF JUNIOR BEES
JUNORBENAV,JUNIOR BEES NAV
JUPITER,JUPITER BIOSCIENCE LIMITED
JUSTDIAL,JUSTDIAL LIMITED.
JVLAGRO,JVL AGRO INDUSTRIES LIMITED
JYOTHYLAB,JYOTHY LABS LIMITED
JYOTISTRUC,JYOTI STRUCTURES LIMITED
KABRAEXTRU,KABRA EXTRUSION TECHNIK L
KAJARIACER,KAJARIA CERAMICS LIMITED
KAKATCEM,KAKATIYA CEM SUGAR &IND L
KALPATPOWR,KALPATARU POWER TRANS. LT
KALYANI,KALYANI COMMERCIALS LIMITED
KALYANIFRG,KALYANI FORGE LIMITED
KALYANISHP,KALYANI SHARP INDIA LIMITED
KALYANISTL,KALYANI STEELS LIMITED
KAMATHOTEL,KAMAT HOTELS (I) LIMITED
KAMDHENU,KAMDHENU LIMITED
KANAKSTEEL,KANAKDHARA STEEL LIMITED
KANANIIND,KANANI INDUSTRIES LIMITED
KANELOIL,KANEL OILS & EXPO. INDS.
KANORICHEM,KANORIA CHEMICALS & INDUS
KANSAINER,KANSAI NEROLAC PAINTS LIMITED
KAPSTON,KAPSTON FACILITIES MGMT L
KARDA,KARDA CONSTRUCTIONS LIMITED
KARMAENG,KARMA ENERGY LIMITED
KARUNACAB,KARUNA CABLES LIMITED
KARURVYSYA,KARUR VYSYA BANK LIMITED
KAUSHALYA,KAUSHALYA INFRA DEV LIMITED.
KAVVERITEL,KAVVERI TEL. LIMITED.
KAYA,KAYA LIMITED
KCP,KCP LIMITED
KCPSUGIND,KCP SUGAR IND CORP LIMITED.
KDDL,KDDL LIMITED
KEC,KEC INTL. LIMITED
KECL,KIRLOSKAR ELECTRIC CO LIMITED
KEI,KEI INDUSTRIES LIMITED.
KELLTONTEC,KELLTON TECH SOL LIMITED
KEMROCK,KEMROCK IND LIMITED
KENNAMET,KENNAMETAL INDIA LIMITED
KERALACHEM,KERALA CHEMICALS AND PROT
KERNEX,KERNEX MICROSYS(I) LIMITED
KESARENT,KESAR ENTERPRISES LIMITED.
KESORAMIND,KESORAM INDUSTRIES LIMITED
KESWANISYN,KESWANI SYNTHETIC IND LIMITED
KEYFINSERV,KEYNOTE FIN SERV LIMITED.
KFA,KINGFISHER AIRLINES LIMITED
KGDENIM,K G DENIM LIMITED
KGKHOSLA,KG KHOSLA COMPRESSORS LIMITED
KGL,KARUTURI GLOBAL LIMITED
KHADIM,KHADIM INDIA LIMITED
KHAITANELE,KHAITAN ELECTRICALS LIMITED
KHAITANLTD,KHAITAN (INDIA)LTD.
KHANDSE,KHANDWALA SECURITIES LIMITED
KHATJUNKER,INDOKEM LIMITED
KICL,KALYANI INVEST CO LIMITED
KILBUNENGG,KILBURN ENGG. LIMITED.
KILITCH,KILITCH DRUGS INDIA LIMITED
KINETICENG,KINETIC ENGINEERING LIMITED
KINGFA,KINGFA SCI & TEC IND LIMITED.
KINGSINTL,KINGS INTERNATIONAL AQUA
KIOCL,KIOCL LIMITED
KIRANOVER,KIRAN OVERSEAS EXPORTS LT
KIRIINDUS,KIRI INDUSTRIES LIMITED
KIRLFER,KIRLOSKAR FERROUS IND LIMITED
KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED
KIRLOSELEC,KIRLOSKAR ELECTRODYNE LIMITED
KIRLOSENG,KIRLOSKAR OIL ENG LIMITED
KIRLOSFERR,KIRLOSKAR FERROUS INDUSTR
KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED
KIRLOSINV,KIRLOSKAR INV. & FIN. LIMITED
KIRLOSPNEU,KIRLOSKAR PNEUMATIC CO. L
KITEX,KITEX GARMENTS LIMITED
KITPLYIND,KITPLY INDUSTRIES LIMITED
KITSTEEL,KITTI STEELS LIMITED.
KJINTL,KJ INTL. LIMITED.
KKCL,KEWAL KIRAN CLOTHING LIMITED
KLGSYSTEL,KLG SYSTEL LIMITED.
KMSUGAR,K M SUGAR MILLS LIMITED
KNDENGTECH,KND ENG TECHNOLOGIES LIMITED
KNRCON,KNR CONSTRU LIMITED.
KOHINOOR,KOHINOOR FOODS LIMITED
KOKUYOCMLN,KOKUYO CAMLIN LIMITED
KOLTEPATIL,KOLTE PATIL DEV. LIMITED.
KOPDRUGS,KDL BIOTECH LIMITED
KOPRAN,KOPRAN LIMITED
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
KOTAKBKETF,KOTAKMAMC-KOTAKBKETF
KOTAKGOLD,KOTAK GOLD ETF
KOTAKNIFTY,KOTAK NIFTY ETF
KOTAKNV20,KOTAKMAMC - KTKNV20ETF
KOTAKPSUBK,KOTAK PSU BANK
KOTARISUG,KOTHARI SUG & CHEM LIMITED.
KOTHARINDL,KOTHARI INDUSTRIAL CORPOR
KOTHARIPET,KOTHARI PETROCHEM LIMITED
KOTHARIPRO,KOTHARI PRODUCTS LIMITED
KPITTECH,KPIT TECHNOLOGIES LIMITED
KPRMILL,KPR MILL LIMITED.
KRBL,KRBL LIMITED
KREBSBIO,KREBS BIOCHEMICALS & IND
KRIDHANINF,KRIDHAN INFRA LIMITED
KRISHANA,KRISHANA PHOSCHEM LIMITED
KRISNAFILA,KRISHNA FILAMENTS LIMITED.
KRONECOMM,KRONE COMMUNICATIONS LIMITED
KSB,KSB LIMITED
KSCL,KAVERI SEED CO. LIMITED.
KSERASERA,KSS LIMITED
KSK,KSK ENERGY VENTURES LIMITED
KSL,KALYANI STEELS LIMITED
KSOILS,K S OILS LIMITED
KTIL,KESAR TER & INFRA LIMITED
KTKBANK,KARNATAKA BANK LIMITED
KUANTUM,KUANTUM PAPERS LIMITED
KUSUMINGOT,KUSUM INGOTS & ALLOYS LIMITED
KWALITY,KWALITY LIMITED
L&TFH,L&T FINANCE HOLDINGS LIMITED
LABHCONST,LABH CONSTRUCTION LIMITED.
LAKHNNATNL,LAKHANPAL NATIONAL LIMITED
LAKPRE,LAKSHMI PRE SCRE LIMITED
LAKSELECON,LAKSHMI ELECT CONTROL SYS
LAKSHMIEFL,LAKSHMI ENG. & FOODS LIMITED
LAKSHMILL,LAKSHMI MILLS CO. LIMITED.
LAKSHVILAS,LAKSHMI VILAS BANK LIMITED
LALPATHLAB,DR. LAL PATH LABS LIMITED.
LAMBODHARA,LAMBODHARA TEXTILES LIMITED.
LANCOIND,LANCO INDUSTRIES LIMITED
LAOPALA,LA OPALA RG LIMITED
LASA,LASA SUPERGENERICS LIMITED
LAURUSLABS,LAURUS LABS LIMITED
LAXMIMACH,LAKSHMI MACHINES LIMITED
LCCINFOTEC,LCC INFOTECH LIMITED
LDTEXT,LD TEXTILES IND. LIMITED.
LEEL,LEEL ELECTRICALS LIMITED
LEENATEX,LEENA TEXTILES LIMITED
LEMONTREE,LEMON TREE HOTELS LIMITED
LFIC,LAKSHMI FIN IND CORP LIMITED
LGBBROSLTD,LG BALAKRISHNAN & BROS
LGBFORGE,LGB FORGE LIMITED
LIBAS,LIBAS DESIGNS LIMITED
LIBERTSHOE,LIBERTY SHOES LIMITED
LICHSGFIN,LIC HOUSING FINANCE LIMITED
LICNETFGSC,LICNAMC - LICNMFET
LICNETFN50,LICNAMC - LICNFENGP
LICNETFSEN,LICNAMC - LICNFESGP
LICNFNHGP,LICNAMC - LICNFNHGP
LINCOLN,LINCOLN PHARMA LIMITED
LINCPEN,LINC PEN & PLASTICS LIMITED
LINDEINDIA,LINDE INDIA LIMITED
LIQUIDBEES,NIP IND ETF LIQUID BEES
LIQUIDETF,DSP LIQUID ETF
LITL,LANCO INFRATECH LIMITED.
LKPMERFIN,LKP MERCHANT FINANCING LT
LLOYDFIN,LLOYDS FINANCE LIMITED
LLOYDMETAL,LLOYD METALS & ENGG LIMITED
LML,LML LIMITED
LOKESHMACH,LOKESH MACHINES LIMITED
LOKHSG,LOK HOUSING & CONSTRUCTIO
LOTUSEYE,LOTUS EYE HOSP & INST L
LOVABLE,LOVABLE LINGERIE LIMITED
LPDC,LANDMARK PR.DEV.CO.LTD
LSIL,LLOYDS STEELS IND. LIMITED.
LT,LARSEN & TOUBRO LIMITED.
LTI,L&T INFOTECH LIMITED
LTTS,L&T TECHNOLOGY SER. LIMITED.
LUMAXAUTO,LUMAX AUTOMOTIVE SYST LIMITED
LUMAXIND,LUMAX INDUSTRIES LIMITED
LUMAXTECH,LUMAX AUTO TECH LIMITED
LUNARDIAM,LUNAR DIAMONDS LIMITED
LUPIN,LUPIN LIMITED
LUXIND,LUX INDUSTRIES LIMITED
LYKALABS,LYKA LABS LIMITED
LYPSAGEMS,LYPSA GEMS & JEWEL LIMITED
M&M,MAHINDRA & MAHINDRA LIMITED
M&MFIN,M&M FIN. SERVICES LIMITED
M100,MOST SHARES M100 ETF
M50,MOST SHARES M50 ETF
MAANALU,MAAN ALUMINIUM LIMITED
MADHAV,MADHAV MARBLE & GRANITE
MADHUCON,MADHUCON PROJECTS LIMITED.
MADHURFOOD,MADHUR FOOD PRODUCTS LIMITED
MADHUSYNTX,MADHUMILAN SYNTEX LIMITED
MADRASALMN,MADRAS ALUMINIUM CO. LIMITED.
MADRASFERT,MADRAS FERTILISERS LIMITED
MADRASMFIN,MADRAS MOTOR FIN. & GUAR.
MADSUDIND,MADHUSUDAN IND. LIMITED.
MADURACOAT,MADURA COATS LIMITED.
MAFATLAFIN,MAFATLAL FINANCE COMPANY
MAFATLAIND,MAFATLAL INDUSTRIES LIMITED
MAGADSUGAR,MAGADH SUGAR & ENERGY LIMITED
MAGMA,MAGMA FINCORP LIMITED
MAGNUM,MAGNUM VENTURES LIMITED.
MAHABANK,BANK OF MAHARASHTRA
MAHAGRO,MAHADEV INDUSTRIES LIMITED.
MAHALEAS,MAHADEV CORP (I) LIMITED.
MAHAPEXLTD,MAHA RASHTRA APEX COPR. L
MAHASTEEL,MAHAMAYA STEEL INDS LIMITED
MAHENDSUIT,MAHENDRA PETROCHEMICALS L
MAHEPC,MAHINDRA EPC IRRIG LIMITED
MAHESHWARI,MAHESHWARI LOGISTICS LIMITED.
MAHINDCIE,MAHINDRA CIE AUTO LIMITED
MAHLIFE,MAHINDRA LIFESPACE DEVLTD
MAHLOG,MAHINDRA LOGISTIC LIMITED
MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED
MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED
MAIKALFIBR,MAIKAAL FIBRES LIMITED
MAITHANALL,MAITHAN ALLOYS LIMITED
MAJESAUTO,MAJESTIC AUTO LIMITED
MAJESCO,MAJESCO LIMITED
MAJESTIND,MAJESTIC INDUSTRIES LIMITED
MALUPAPER,MALU PAPER MILLS LIMITED
MALWACOTT,MALWA COTTON SPG. MILLS L
MAN50ETF,MIRAEAMC - MAN50ETF
MANAKALUCO,MANAK ALUMINIUM CO. LIMITED.
MANAKCOAT,MAN COAT METAL & IND LIMITED
MANAKSIA,MANAKSIA LIMITED.
MANAKSTEEL,MANAKSIA STEELS LIMITED
MANALIPETC,MANALI PETROCHEMICALS LT
MANALUMN,MAN INDUSTRIES (I) LIMITED
MANAPPURAM,MANAPPURAM FINANCE LIMITED
MANDHANA,MANDHANA INDUS. LIMITED
MANGALAM,MANGALAM DRUG & CHEM LIMITED
MANGCHEFER,MANG.CHEM.FERT.LTD
MANGLMCEM,MANGALAM CEMENT LIMITED
MANGTIMBER,MANGALAM TIMBER PRODUCTS
MANINDS,MAN INDUSTRIES (I) LIMITED.
MANINFRA,MAN INFRA LIMITED
MANPASAND,MANPASAND BEVERAGES LIMITED.
MANTRIHSG,MANTRI HSG & CONST LIMITED
MANUGRAIND,MANUGRAPH INDUSTRIES LIMITED
MANUGRAPH,MANUGRAPH INDIA LIMITED
MANXT50,MIRAEAMC - MANXT50
MARALOVER,MARAL OVERSEAS LIMITED
MARATHON,MARATHON NXTGEN REALT LIMITED
MARICO,MARICO LIMITED
MARKSANS,MARKSANS PHARMA LIMITED
MARNITPOLY,MPL CORPORATION LIMITED
MARUTI,MARUTI SUZUKI INDIA LIMITED.
MASFIN,MAS FINANCIAL SERV LIMITED
MASKINVEST,MASK INVESTMENTS LIMITED
MASTEK,MASTEK LIMITED
MATHPLATT,MATHER & PLATT (I) LIMITED.
MATRIMONY,MATRIMONY.COM LIMITED
MAWANASUG,MAWANA SUGARS LIMITED
MAXINDIA,MAX INDIA LIMITED
MAXORCHARD,MAXWORTH ORCHARDS INDIA L
MAXVIL,MAX VENTURES AND INDS LIMITED
MAYURUNIQ,MAYUR UNIQUOTERS LIMITED
MAZDA,MAZDA LIMITED
MAZDALEASE,MAZDA IND. & LEASING LIMITED.
MBAPL,MADHYA BHARAT AGRO P. LIMITED
MBECL,MCNALLY BH. ENG. CO.LTD
MBLINFRA,MBL INFRASTRUCTURES LIMITED
MCDHOLDING,MCDOWELL HOLDINGS LIMITED.
MCDOWELL-N,UNITED SPIRITS LIMITED
MCLEODRUSS,MCLEOD RUSSEL INDIA LIMITED.
MCX,MULTI COMMODITY EXCHANGE
MEDICAPS,MEDI CAPS LIMITED.
MEGASOFT,MEGASOFT LIMITED
MEGH,MEGHMANI ORGANICS LIMITED.
MELSTAR,MELSTAR INFORMATION TECH
MENONBE,MENON BEARINGS LIMITED
MEP,MEP INFRA. DEVELOPERS LIMITED
MERCATOR,MERCATOR LIMITED
MERIND,MERIND LIMITED
MESCOPHARM,MESCO PHARMA. LIMITED
METALFORGE,METALYST FORGINGS LIMITED
METALPIPE,METALMAN INDUSTRIES LIMITED.
METAZINC,MTZ (INDIA) LIMITED
METKORE,METKORE ALLOYS & IND LIMITED
METROCHEM,METROCHEM INDUSTRIES LIMITED
METROPOLIS,METROPOLIS HEALTHCARE LIMITED
MFSL,MAX FINANCIAL SERV LIMITED
MGL,MAHANAGAR GAS LIMITED.
MHRIL,MAHINDRA HOLIDAYS LIMITED
MIC,MIC ELECTRONICS LIMITED
MICROPLANT,MICRO PLANTAE LIMITED.
MICROTECH,MICRO TECH. (IND) LIMITED
MIDEASTI,MIDEAST INDIA LIMITED
MIDEASTSTL,MIDEAST INTEGRATED STEEL
MIDHANI,MISHRA DHATU NIGAM LIMITED
MIDINDIA,MID INDIA INDUSTRIES LIMITED.
MIDWESTIRN,MIDWEST IRON & STEEL CO L
MILTONPLAS,MILTON PLASTICS LIMITED
MINDACORP,MINDA CORPORATION LIMITED
MINDAIND,MINDA INDUSTRIES LIMITED.
MINDTECK,MINDTECK (INDIA) LIMITED
MINDTREE,MINDTREE LIMITED
MIRCELECTR,MIRC ELECTRONICS LIMITED
MIRZAINT,MIRZA INTERNATIONAL LIMIT
MITTAL,MITTAL LIFE STYLE LIMITED
MMFL,MM FORGINGS LIMITED
MMP,MMP INDUSTRIES LIMITED
MMTC,MMTC LIMITED
MODERNDENM,MODERN DENIM LIMITED
MODERNMAL,MODERN MALLEABLE LIMITED
MODERNWOOL,MODERN TERRY TOWELS LIMITED
MODIALKALI,MODI ALKALIES & CHEM LIMITED.
MODILUFT,MODI LUFT LIMITED
MODINSULAT,MODERN INSULATORS LIMITED
MODIOLIVET,MODI OLIVETTI LIMITED
MODIPON,MODIPON LIMITED
MODIRUBBER,MODI RUBBER LIMITED
MODITHREAD,MODI TELEFIBERS LIMITED
MODRNSYNTX,MODERN SYNTEX (INDIA) LIMITED
MODTHREAD,MODERN THREAD LIMITED.
MOHITIND,MOHIT INDUSTRIES LIMITED
MOHOTAIND,MOHOTA INDUSTRIES LIMITED
MOIL,MOIL LIMITED
MOLDPLAST,MOLD-TEK PLASTICS LIMITED
MOLDTECH,MOLD-TEK TECHNOLOGIES LIMITED
MOLDTKPAC,MOLD-TEK PACKAGING LIMITED
MONICAELEC,MONICA ELECTRONICS LIMITED
MONNETISPA,MONNET ISPAT & ENERGY LIMITED
MONSANTO,MONSANTO INDIA LIMITED
MONTARIND,MONTARI INDUSTRIES LIMITED
MONTECARLO,MONTE CARLO FASHIONS LIMITED.
MORARJEE,MORARJEE TEXTILES LIMITED
MOREPENLAB,MOREPEN LAB. LIMITED
MOSERBAER,MOSER-BAER (I) LIMITED
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT
MOTILALOFS,MOTILAL OSWAL FIN LIMITED
MOTOGENFIN,MOTOR & GENERAL FINANCE L
MPAGROFERT,M P AGRO FERTILISERS LIMITED
MPHASIS,MPHASIS LIMITED
MPSLTD,MPS LIMITED
MRF,MRF LIMITED
MRO-TEK,MRO-TEK REALTY LIMITED
MRPL,MRPL
MSLIND,MSL INDUSTRIES LIMITED
MSPL,MSP STEEL & POWER LIMITED.
MSSHOES,M S SHOES EAST LIMITED
MSTCLTD,MSTC LIMITED
MTEDUCARE,MT EDUCARE LIMITED
MTNL,MAHANAGAR TELEPHONE NIGAM
MUKANDENGG,MUKAND ENGINEERS LIMITED
MUKANDLTD,MUKAND LIMITED.
MUKATPIPE,MUKAT PIPES LIMITED
MUKERPAPER,MUKERIAN PAPER LIMITED.
MUKTAARTS,MUKTA ARTS LIMITED
MULTIARC,MULTI-ARC INDIA LIMITED
MUNJALAU,MUNJAL AUTO IND. LIMITED.
MUNJALSHOW,MUNJAL SHOWA LIMITED
MURABLACK,MURABLACK LIMITED
MURLIIND,MURLI INDUST. LIMITED.
MURUDCERA,MURUDESHWAR CERAMICS LIMITED
MUTHOOTCAP,MUTHOOT CAP SERV LIMITED
MUTHOOTFIN,MUTHOOT FINANCE LIMITED
MVL,MVL LIMITED
MYSOREBANK,STATE BANK OF MYSORE
MYSORPETRO,MYSORE PETROCHEMICALS LIMITED
N100,MOST SHARES N100 ETF
NACLIND,NACL INDUSTRIES LIMITED
NAGAFERT,NAGARJUN FERT AND CHE LIMITED
NAGARJUFIN,NAGARJUNA FINANCE LIMITED
NAGAROIL,NAGARJUNA OIL REFINERY
NAGREEKCAP,NAGREEKA CAP & INFR.LTD
NAGREEKEXP,NAGREEKA EXPORTS LIMITED.
NAHARCAP,NAHAR CAP & FIN.
NAHARINDUS,NAHAR INDS ENT LIMITED
NAHARPOLY,NAHAR POLY FILMS LIMITED
NAHARSPING,NAHAR SPINNING MILLS LIMITED.
NAHARSUGAR,NAHAR SUGARS & ALLIED IND
NAKODA,NAKODA LIMITED
NAKODATEX,NAKODA TEXTILE INDS LIMITED
NALCOCHEM,NALCO CHEMICALS LIMITED
NAM-INDIA,NIPPON L I A M LIMITED
NAMTECHELE,NAMTECH ELETRONIC DEVICES
NARMADASUG,GIRDHARILAL SUGAR & ALLIE
NATCOPHARM,NATCO PHARMA LIMITED.
NATHBIOGEN,NATH BIO-GENES (I) LIMITED
NATHPULP,NATH PULP & PAPER MILLS L
NATIONALUM,NATIONAL ALUMINIUM CO LIMITED
NATNLSTEEL,NATIONAL STEEL & AGRO IND
NATPEROXID,NATIONAL PEROXIDE LIMITED
NAUKRI,INFO EDGE (I) LIMITED
NAVBHARENT,NAVBHARAT ENTERPRISES LIMITED
NAVINFLUOR,NAVIN FLUORINE INT. LIMITED
NAVKARCORP,NAVKAR CORPORATION LIMITED.
NAVNETEDUL,NAVNEET EDUCATION LIMITED
NBCC,NBCC (INDIA) LIMITED
NBIFIN,N.B.I. IND. FIN. CO. LIMITED
NBVENTURES,NAVA BHARAT VENTURES LIMI
NCC,NCC LIMITED
NCLIND,NCL INDUSTRIES LIMITED
NCOPPER,NISSAN COPPER LIMITED
NDGL,NAGA DHUNSERI GROUP LIMITED
NDL,NANDAN DENIM LIMITED
NDTV,NDTV LIMITED
NECCLTD,NORTH EAST CARRY CORP LIMITED
NECLIFE,NECTAR LIFESCIENCES LIMITED.
NEDUNGBANK,NEDUNGADI BANK LIMITED
NELCAST,NELCAST LIMITED
NELCO,NELCO LIMITED
NEOGEN,NEOGEN CHEMICALS LIMITED
NEOSACK,NEO SACK LIMITED
NEPCMICON,NEPC INDIA LIMITED
NEPCPAPER,NEPC PAPER & BOARD LIMITED
NESCO,NESCO LIMITED.
NESTLEIND,NESTLE INDIA LIMITED
NET4,NET 4 INDIA LIMITED
NETF,TATAAML - NETF
NETFCONSUM,NIPPO IND ETF CONSUMPTION
NETFDIVOPP,NIP ETF DIV OPPORTUNITIES
NETFIT,RELCAPAMC NETFIT
NETFLTGILT,NI IND ETF LONG TERM GILT
NETFMID150,NI I ETF NIFTY MIDCAP 150
NETFNIF100,NIPP INDIA ETF NIFTY 100
NETFNV20,NIPPON INDIA ETF NV20
NETVISTAIT,NETVISTA INFO TECH LIMITED
NETWORK,NETWORK LIMITED
NETWORK18,NETWORK18 MEDIA & INV LIMITED
NEULANDLAB,NEULAND LAB LIMITED.
NEWGEN,NEWGEN SOFTWARE TECH LIMITED
NEXTMEDIA,NEXT MEDIAWORKS LIMITED
NFL,NATIONAL FERT. LIMITED
NH,NARAYANA HRUDAYALAYA LIMITED.
NHPC,NHPC LIMITED
NIACL,THE NEW INDIA ASSU CO LIMITED
NIBL,NRB INDUS. BEARINGS LIMITED.
NICCO,NICCO CORP LIMITED
NIFTYBEES,NIPPO IND ETF NIFTY BEES
NIFTYBENAV,NIFTY BEES NAV
NIFTYEES,EDELWEISS ETF - NIFTY 50
NIHONIRMAN,NIHON NIRMAAN LIMITED
NIITLTD,NIIT LIMITED
NIITTECH,NIIT TECHNOLOGIES LIMITED
NILAINFRA,NILA INFRASTRUCTURES LIMITED
NILASPACES,NILA SPACES LIMITED
NILKAMAL,NILKAMAL LIMITED
NIPPOBATRY,INDO-NATIONAL LIMITED
NIPPONDENS,DENSO INDIA LIMITED
NIRAJISPAT,NIRAJ ISPAT IND LIMITED
NIRAJPETRO,NIRAJ PETRO LIMITED
NIRLON,NIRLON LIMITED
NITCO,NITCO LIMITED
NITESHEST,NEL HOLDINGS LIMITED
NITINFIRE,NITIN FIRE PROT IND. LIMITED.
NITINSPIN,NITIN SPINNERS LIMITED
NIYATILEAS,NIYATI INDUSTRIES LIMITED
NKIND,NK INDUSTRIES LIMITED
NLCINDIA,NLC INDIA LIMITED
NMDC,NMDC LIMITED.
NOCIL,NOCIL LIMITED
NOESISIND,NOESIS INDUSTRIES LIMITED
NOIDATOLL,NOIDA TOLL BRIDGE CO LIMITED
NORBTEAEXP,NORBEN TEA & EXPORTS LIMITED
NORTHSUG,NORTHLAND SUGAR COM. LIMITED
NOVARTIND,NOVARTIS INDIA LIMITED.
NPBET,TATAAML - NPBET
NRAIL,N R AGARWAL INDS LIMITED
NRBBEARING,NRB BEARING LIMITED
NRC,NRC  LIMITED
NSIL,NALWA SONS INVESTMENT LIMITED
NTL,NEUEON TOWERS LIMITED
NTPC,NTPC LIMITED
NUCLEUS,NUCLEUS SOFTWARE EXPORTS
NUTEK,NU TEK INDIA LIMITED
NXTDIGITAL,NXTDIGITAL LIMITED
OAL,ORIENTAL AROMATICS LIMITED
OBEROIRLTY,OBEROI REALTY LIMITED
OCCL,ORIENTAL CARBN & CHEM LIMITED
OCL,OCL INDIA LIMITED
OCLINDIA,ODISHA CEMENT LIMITED
OFSS,ORACLE FIN SERV SOFT LIMITED.
OIL,OIL INDIA LIMITED
OILCOUNTUB,OIL COUNTRY TUBULAR LIMITED
OISL,OCL IRON AND STEEL LIMITED
OLECTRA,OLECTRA GREENTECH LIMITED
OMAXAUTO,OMAX AUTOS LIMITED
OMAXE,OMAXE LIMITED
OMKARCHEM,OMKAR SPL CHEM LIMITED
OMMETALS,OM METALS INFRAPRO LIMITED
OMNITECH,OMNITECH INFOSOLU LIMITED.
ONELIFECAP,ONELIFE CAP ADVISORS LIMITED
ONEPOINT,ONE POINT ONE SOL LIMITED
ONGC,OIL AND NATURAL GAS CORP.
ONIDASAVAK,ONIDA SAVAK LIMITED
ONMOBILE,ONMOBILE GLOBAL LIMITED.
ONWARDTEC,ONWARD TECHNOLOGIES LIMITED
OPTELCOMM,OPTEL TELECOM. LIMITED
OPTIEMUS,OPTIEMUS INFRACOM LIMITED
OPTOCIRCUI,OPTO CIRCUITS (I) LIMITED.
ORBITCORP,ORBIT CORP. LIMITED.
ORBTEXP,ORBIT EXPORTS LIMITED
ORCHIDPHAR,ORCHID PHARMA LIMITED
ORICONENT,ORICON ENTERPRISES LIMITED
ORIENTABRA,ORIENT ABRASIVE LIMITED
ORIENTALTL,ORIENTAL TRIMEX LIMITED
ORIENTBANK,ORIENTAL BANK OF COMMERCE
ORIENTBELL,ORIENT BELL LIMITED
ORIENTCARB,ORIENTAL CARBON & CHEM
ORIENTCEM,ORIENT CEMENT LIMITED.
ORIENTCONT,ORIENTAL CONTAINERS LIMITED
ORIENTELEC,ORIENT ELECTRIC LIMITED
ORIENTHOT,ORIENT HOTELS LIMITED
